,source,target,weight
40,684,526.0,1
31,526,512.0,1
29,512,16.0,1
0,16,180.0,1
10,180,771.0,1
43,771,585.0,1
35,585,236.0,1
15,236,604.0,1
36,604,297.0,1
19,297,640.0,1
37,640,424.0,1
25,424,108.0,1
5,108,389.0,1
24,389,477.0,1
26,477,489.0,1
27,489,72.0,1
2,72,375.0,1
21,375,518.0,1
30,518,374.0,1
20,374,718.0,1
42,718,561.0,1
32,561,568.0,1
33,568,174.0,1
9,174,224.0,1
14,224,287.0,1
17,287,89.0,1
3,89,183.0,1
11,183,25.0,1
1,25,137.0,1
6,137,208.0,1
12,208,164.0,1
8,164,296.0,1
18,296,775.0,1
44,775,681.0,1
39,681,159.0,1
7,159,382.0,1
23,382,703.0,1
41,703,377.0,1
22,377,672.0,1
38,672,103.0,1
4,103,221.0,1
13,221,272.0,1
16,272,501.0,1
28,501,571.0,1
34,571,,1
