,source,target,weight
0,0,191.0,1
10,191,898.0,1
40,898,350.0,1
16,350,993.0,1
43,993,850.0,1
37,850,503.0,1
22,503,116.0,1
8,116,313.0,1
15,313,921.0,1
41,921,803.0,1
35,803,739.0,1
34,739,220.0,1
11,220,251.0,1
13,251,624.0,1
29,624,704.0,1
31,704,493.0,1
21,493,454.0,1
19,454,442.0,1
18,442,181.0,1
9,181,9.0,1
2,9,289.0,1
14,289,582.0,1
27,582,716.0,1
33,716,679.0,1
30,679,390.0,1
17,390,487.0,1
20,487,839.0,1
36,839,50.0,1
5,50,576.0,1
25,576,542.0,1
24,542,520.0,1
23,520,603.0,1
28,603,19.0,1
3,19,58.0,1
6,58,888.0,1
39,888,6.0,1
1,6,870.0,1
38,870,27.0,1
4,27,230.0,1
12,230,580.0,1
26,580,95.0,1
7,95,950.0,1
42,950,710.0,1
32,710,,1
