,source,target,weight
25,544,885.0,1
42,885,858.0,1
41,858,838.0,1
40,838,160.0,1
7,160,640.0,1
30,640,401.0,1
16,401,964.0,1
46,964,305.0,1
9,305,156.0,1
6,156,629.0,1
29,629,553.0,1
26,553,335.0,1
12,335,937.0,1
43,937,493.0,1
21,493,748.0,1
35,748,45.0,1
1,45,442.0,1
19,442,959.0,1
45,959,563.0,1
27,563,350.0,1
14,350,755.0,1
36,755,495.0,1
22,495,9.0,1
0,9,585.0,1
28,585,52.0,1
2,52,543.0,1
24,543,685.0,1
32,685,426.0,1
18,426,723.0,1
33,723,824.0,1
37,824,647.0,1
31,647,62.0,1
3,62,259.0,1
8,259,424.0,1
17,424,830.0,1
38,830,525.0,1
23,525,325.0,1
10,325,331.0,1
11,331,733.0,1
34,733,336.0,1
13,336,945.0,1
44,945,836.0,1
39,836,392.0,1
15,392,92.0,1
5,92,84.0,1
4,84,452.0,1
20,452,,1
