lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
25,433,256,238,91,20,416,90
25,748,353,243,86,20,513,90
25,412,459,244,70,20,619,90
25,21,494,235,115,20,654,90
25,167,570,224,63,10,730,90
25,608,603,240,97,10,763,90
25,733,667,228,68,10,827,90
25,373,700,243,103,20,860,90
25,143,775,233,86,20,935,90
25,175,871,236,91,10,1031,90
25,155,963,237,93,40,1123,90
25,428,1062,233,101,20,1222,90
25,567,1159,228,97,20,1319,90
25,644,1254,226,102,20,1414,90
25,119,1355,218,109,10,1515,90
25,273,1448,215,107,30,1608,90
25,547,1553,210,93,20,1713,90
25,590,1647,207,91,30,1807,90
25,537,1738,208,91,30,1898,90
25,28,1832,212,93,30,1992,90
25,625,1933,222,89,40,2093,90
25,603,2029,219,84,30,2189,90
25,19,2122,216,84,10,2282,90
25,86,2216,214,88,10,2376,90
25,81,2314,212,81,30,2474,90
25,291,2420,198,90,30,2580,90
25,597,2528,208,104,10,2688,90
25,327,2624,211,110,10,2784,90
25,441,2723,219,114,20,2883,90
25,293,2818,215,116,30,2978,90
