,source,target,weight
0,0,584.0,1
32,584,520.0,1
28,520,233.0,1
10,233,452.0,1
26,452,44.0,1
3,44,279.0,1
13,279,381.0,1
22,381,749.0,1
35,749,248.0,1
12,248,127.0,1
6,127,451.0,1
25,451,290.0,1
15,290,315.0,1
17,315,440.0,1
24,440,282.0,1
14,282,482.0,1
27,482,291.0,1
16,291,372.0,1
21,372,365.0,1
20,365,417.0,1
23,417,747.0,1
34,747,184.0,1
7,184,56.0,1
5,56,589.0,1
33,589,544.0,1
29,544,217.0,1
9,217,5.0,1
1,5,580.0,1
31,580,31.0,1
2,31,331.0,1
19,331,215.0,1
8,215,46.0,1
4,46,579.0,1
30,579,328.0,1
18,328,237.0,1
11,237,,1
