,source,target,weight
14,302,684.0,1
29,684,409.0,1
20,409,309.0,1
15,309,758.0,1
34,758,402.0,1
19,402,653.0,1
28,653,399.0,1
18,399,130.0,1
3,130,225.0,1
8,225,697.0,1
31,697,395.0,1
16,395,59.0,1
1,59,718.0,1
32,718,603.0,1
27,603,258.0,1
9,258,489.0,1
22,489,692.0,1
30,692,524.0,1
24,524,174.0,1
6,174,584.0,1
25,584,7.0,1
0,7,267.0,1
10,267,398.0,1
17,398,113.0,1
2,113,153.0,1
5,153,505.0,1
23,505,438.0,1
21,438,131.0,1
4,131,743.0,1
33,743,224.0,1
7,224,298.0,1
13,298,274.0,1
11,274,596.0,1
26,596,287.0,1
12,287,,1
