,source,target,weight
0,27,342.0,1
17,342,312.0,1
15,312,947.0,1
50,947,373.0,1
20,373,898.0,1
48,898,800.0,1
44,800,827.0,1
45,827,885.0,1
46,885,137.0,1
6,137,733.0,1
39,733,530.0,1
29,530,596.0,1
33,596,44.0,1
2,44,743.0,1
40,743,653.0,1
36,653,525.0,1
27,525,916.0,1
49,916,457.0,1
25,457,479.0,1
26,479,788.0,1
42,788,563.0,1
32,563,190.0,1
10,190,31.0,1
1,31,621.0,1
34,621,306.0,1
13,306,310.0,1
14,310,212.0,1
11,212,356.0,1
18,356,543.0,1
30,543,125.0,1
5,125,789.0,1
43,789,632.0,1
35,632,372.0,1
19,372,450.0,1
24,450,663.0,1
37,663,526.0,1
28,526,411.0,1
21,411,415.0,1
22,415,333.0,1
16,333,700.0,1
38,700,187.0,1
9,187,294.0,1
12,294,759.0,1
41,759,92.0,1
3,92,895.0,1
47,895,423.0,1
23,423,156.0,1
8,156,964.0,1
51,964,151.0,1
7,151,555.0,1
31,555,109.0,1
4,109,,1
