,source,target,weight
15,363,927.0,1
36,927,273.0,1
10,273,143.0,1
6,143,162.0,1
8,162,316.0,1
12,316,135.0,1
5,135,38.0,1
0,38,350.0,1
13,350,360.0,1
14,360,517.0,1
22,517,52.0,1
1,52,285.0,1
11,285,405.0,1
17,405,426.0,1
19,426,602.0,1
29,602,778.0,1
31,778,806.0,1
33,806,514.0,1
21,514,68.0,1
2,68,588.0,1
27,588,883.0,1
35,883,954.0,1
38,954,74.0,1
3,74,519.0,1
23,519,85.0,1
4,85,951.0,1
37,951,379.0,1
16,379,412.0,1
18,412,669.0,1
30,669,159.0,1
7,159,529.0,1
24,529,192.0,1
9,192,877.0,1
34,877,580.0,1
26,580,478.0,1
20,478,595.0,1
28,595,531.0,1
25,531,790.0,1
32,790,,1
