lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
18,93,55,273,300,30,85,10
18,275,57,306,235,25,87,10
18,542,75,321,277,10,105,10
18,792,77,321,280,30,107,10
18,771,85,320,280,10,115,10
18,989,96,343,276,15,126,10
18,983,97,318,280,20,127,10
18,393,111,320,283,30,141,10
18,271,114,299,353,34,144,10
18,87,125,316,284,20,155,10
18,402,137,316,286,30,167,10
18,389,148,315,287,30,178,10
18,11,163,313,282,20,193,10
18,992,470,340,291,22,500,10
18,655,617,333,293,27,647,10
18,834,817,284,319,17,847,10
18,224,1170,330,308,24,1200,10
18,67,1254,299,285,3,1284,10
18,384,1303,295,247,12,1333,10
18,527,1320,306,229,10,1350,10
18,284,1330,330,281,14,1360,10
18,296,1349,297,283,28,1379,10
18,269,1377,307,249,10,1407,10
18,178,1479,322,290,23,1509,10
