lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
25,375,686,436,264,20,806,10
25,155,741,439,266,10,861,10
25,301,764,442,289,25,884,10
25,227,774,451,305,13,894,10
25,26,789,441,265,40,909,10
25,764,865,450,265,10,985,10
25,133,876,460,328,13,996,10
25,707,934,444,269,20,1054,10
25,516,982,444,271,10,1102,10
25,483,1031,445,273,20,1151,10
25,492,1080,443,272,10,1200,10
25,693,1129,441,273,20,1249,10
25,188,1191,439,268,10,1311,10
25,777,1247,435,268,10,1367,10
25,548,1291,435,267,20,1411,10
25,491,1495,453,318,30,1615,10
25,928,2089,490,286,29,2209,10
25,794,2113,436,295,11,2233,10
25,918,2135,489,274,31,2255,10
25,520,2487,499,316,18,2607,10
25,482,2918,491,369,28,3038,10
25,600,2990,497,266,25,3110,10
25,649,3073,468,352,9,3193,10
25,775,3118,475,267,7,3238,10
25,184,3313,492,335,10,3433,10
25,495,3407,440,284,25,3527,10
25,843,3431,487,320,21,3551,10
25,718,3558,478,300,12,3678,10
25,36,3760,440,292,24,3880,10
25,136,4188,463,253,23,4308,10
25,912,5589,489,338,17,5709,10
