lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
22,414,119,154,31,20,182,90
22,276,138,176,14,10,174,90
22,370,185,151,30,20,240,90
22,429,210,174,13,20,252,90
22,87,276,153,28,10,334,90
22,143,285,173,13,10,358,90
22,72,368,155,28,10,426,90
22,559,385,173,11,20,442,90
22,481,452,154,26,20,527,90
22,301,476,175,12,20,536,90
22,272,545,156,26,10,617,90
22,245,563,178,10,20,636,90
22,466,640,157,25,20,705,90
22,364,661,179,9,30,720,90
22,394,735,160,24,10,797,90
22,504,762,177,4,10,811,90
22,126,831,161,22,10,886,90
22,195,852,181,8,20,911,90
22,80,926,161,26,10,978,90
22,422,938,181,11,20,1011,90
22,102,1017,160,27,30,1070,90
22,430,1042,184,12,20,1094,90
22,423,1108,158,27,10,1163,90
22,43,1200,157,31,20,1260,90
