,source,target,weight
39,786,491.0,1
23,491,446.0,1
18,446,325.0,1
12,325,672.0,1
32,672,831.0,1
41,831,473.0,1
20,473,648.0,1
31,648,309.0,1
10,309,339.0,1
15,339,328.0,1
13,328,985.0,1
46,985,609.0,1
28,609,310.0,1
11,310,146.0,1
3,146,905.0,1
43,905,253.0,1
7,253,701.0,1
34,701,619.0,1
30,619,114.0,1
1,114,455.0,1
19,455,824.0,1
40,824,971.0,1
45,971,70.0,1
0,70,486.0,1
22,486,331.0,1
14,331,756.0,1
37,756,477.0,1
21,477,541.0,1
26,541,763.0,1
38,763,173.0,1
5,173,518.0,1
25,518,383.0,1
17,383,617.0,1
29,617,366.0,1
16,366,300.0,1
9,300,565.0,1
27,565,683.0,1
33,683,138.0,1
2,138,166.0,1
4,166,267.0,1
8,267,962.0,1
44,962,723.0,1
35,723,746.0,1
36,746,507.0,1
24,507,860.0,1
42,860,243.0,1
6,243,,1
