,source,target,weight
13,269,250.0,1
11,250,203.0,1
7,203,386.0,1
23,386,653.0,1
36,653,872.0,1
43,872,849.0,1
40,849,569.0,1
34,569,435.0,1
27,435,489.0,1
31,489,155.0,1
3,155,183.0,1
4,183,346.0,1
18,346,354.0,1
19,354,198.0,1
5,198,957.0,1
46,957,282.0,1
14,282,484.0,1
30,484,221.0,1
10,221,494.0,1
32,494,976.0,1
48,976,843.0,1
39,843,890.0,1
45,890,389.0,1
24,389,1.0,1
0,1,286.0,1
15,286,218.0,1
9,218,413.0,1
26,413,382.0,1
22,382,199.0,1
6,199,681.0,1
37,681,90.0,1
1,90,265.0,1
12,265,322.0,1
17,322,296.0,1
16,296,858.0,1
42,858,585.0,1
35,585,355.0,1
20,355,474.0,1
29,474,214.0,1
8,214,874.0,1
44,874,453.0,1
28,453,372.0,1
21,372,392.0,1
25,392,854.0,1
41,854,964.0,1
47,964,750.0,1
38,750,154.0,1
2,154,539.0,1
33,539,,1
