,source,target,weight
31,849,848.0,1
30,848,899.0,1
33,899,696.0,1
22,696,123.0,1
4,123,152.0,1
7,152,903.0,1
34,903,128.0,1
5,128,995.0,1
39,995,910.0,1
35,910,557.0,1
16,557,133.0,1
6,133,814.0,1
28,814,803.0,1
26,803,950.0,1
37,950,180.0,1
8,180,672.0,1
21,672,579.0,1
18,579,419.0,1
13,419,219.0,1
9,219,954.0,1
38,954,475.0,1
14,475,705.0,1
23,705,523.0,1
15,523,287.0,1
10,287,5.0,1
0,5,912.0,1
36,912,998.0,1
41,998,44.0,1
3,44,578.0,1
17,578,806.0,1
27,806,355.0,1
12,355,722.0,1
24,722,874.0,1
32,874,19.0,1
1,19,789.0,1
25,789,649.0,1
20,649,996.0,1
40,996,594.0,1
19,594,310.0,1
11,310,828.0,1
29,828,40.0,1
2,40,,1
