lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
24,703,190,55,324,10,220,10
24,256,193,53,326,20,223,10
24,506,199,87,365,20,229,10
24,559,200,84,363,20,230,10
24,197,201,51,326,10,231,10
24,460,211,82,365,30,241,10
24,179,214,48,326,20,244,10
24,190,217,79,344,16,247,10
24,686,217,91,388,2,247,10
24,613,226,47,328,50,256,10
24,650,229,75,368,10,259,10
24,425,240,75,367,10,270,10
24,691,242,53,330,30,272,10
24,479,246,67,318,15,276,10
24,493,254,52,331,10,284,10
24,151,255,60,319,29,285,10
24,350,260,82,360,10,290,10
24,526,267,52,334,30,297,10
24,539,272,84,360,40,302,10
24,533,283,84,359,20,313,10
24,168,286,61,333,10,316,10
24,383,295,83,357,10,325,10
24,762,301,60,328,10,331,10
24,592,307,85,358,10,337,10
24,642,309,68,386,16,339,10
24,757,319,86,357,10,349,10
24,595,329,65,335,4,359,10
24,233,403,92,384,26,433,10
24,800,449,80,365,18,479,10
24,371,561,97,387,37,591,10
24,53,573,108,395,12,603,10
24,192,669,90,311,12,699,10
24,434,675,55,341,14,705,10
24,603,681,72,315,11,711,10
24,66,682,68,378,10,712,10
24,81,786,105,360,10,816,10
24,158,960,74,351,32,990,10
24,706,984,102,377,16,1014,10
24,771,1239,77,319,12,1269,10
