lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
6,536,129,275,182,10,188,90
6,184,154,285,225,30,220,90
6,444,187,280,180,20,261,90
6,565,189,261,217,10,257,90
6,254,216,287,224,10,277,90
6,310,283,261,215,10,347,90
6,371,288,284,176,30,353,90
6,361,308,289,225,10,369,90
6,140,379,260,214,30,434,90
6,573,384,286,175,10,441,90
6,402,391,287,226,10,472,90
6,526,471,263,215,20,528,90
6,243,483,280,175,30,534,90
6,470,486,288,227,40,560,90
6,78,559,263,212,10,626,90
6,305,563,280,172,10,639,90
6,558,577,288,228,10,651,90
6,231,660,262,211,10,707,90
6,366,667,277,172,10,722,90
6,515,679,288,231,20,734,90
6,281,754,261,212,30,796,90
6,200,763,285,230,10,837,90
6,339,767,278,176,20,810,90
6,314,843,258,212,10,894,90
6,553,854,278,177,20,904,90
6,123,870,283,229,20,914,90
6,570,925,257,210,10,997,90
6,335,939,282,227,20,1030,90
6,544,946,277,177,20,994,90
6,455,1050,280,225,20,1105,90
