,source,target,weight
6,258,970.0,1
37,970,601.0,1
19,601,777.0,1
26,777,238.0,1
5,238,960.0,1
35,960,939.0,1
34,939,117.0,1
3,117,104.0,1
2,104,663.0,1
23,663,613.0,1
20,613,628.0,1
21,628,706.0,1
24,706,570.0,1
17,570,480.0,1
12,480,591.0,1
18,591,901.0,1
31,901,485.0,1
13,485,460.0,1
9,460,10.0,1
0,10,634.0,1
22,634,504.0,1
15,504,906.0,1
32,906,17.0,1
1,17,918.0,1
33,918,326.0,1
8,326,470.0,1
11,470,169.0,1
4,169,796.0,1
28,796,841.0,1
29,841,774.0,1
25,774,461.0,1
10,461,967.0,1
36,967,497.0,1
14,497,891.0,1
30,891,789.0,1
27,789,305.0,1
7,305,505.0,1
16,505,981.0,1
38,981,,1
