,source,target,weight
27,703,678.0,1
26,678,393.0,1
14,393,168.0,1
6,168,124.0,1
1,124,530.0,1
19,530,150.0,1
5,150,244.0,1
10,244,132.0,1
2,132,732.0,1
28,732,315.0,1
12,315,533.0,1
20,533,827.0,1
29,827,660.0,1
25,660,627.0,1
24,627,861.0,1
30,861,103.0,1
0,103,134.0,1
3,134,544.0,1
21,544,607.0,1
23,607,401.0,1
15,401,596.0,1
22,596,895.0,1
31,895,464.0,1
16,464,196.0,1
7,196,501.0,1
17,501,930.0,1
32,930,330.0,1
13,330,241.0,1
9,241,144.0,1
4,144,202.0,1
8,202,506.0,1
18,506,290.0,1
11,290,,1
