lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
9,436,116,103,135,20,276,90
9,664,137,93,132,10,297,90
9,284,229,91,133,10,389,90
9,301,322,92,131,20,482,90
9,769,418,86,133,10,578,90
9,794,475,103,116,20,635,90
9,488,568,100,115,20,728,90
9,523,660,99,114,30,820,90
9,7,753,96,113,20,913,90
9,74,800,90,121,10,960,90
9,558,1877,88,143,20,2037,90
9,222,1973,90,138,30,2133,90
9,193,2070,97,139,20,2230,90
9,766,2170,107,138,10,2330,90
9,780,2263,105,135,10,2423,90
9,745,2357,102,133,20,2517,90
9,220,2450,99,132,10,2610,90
9,156,2550,96,122,30,2710,90
9,579,2647,102,125,20,2807,90
9,295,2746,110,121,10,2906,90
9,283,2844,112,129,20,3004,90
9,299,2944,122,130,10,3104,90
9,658,2991,86,140,50,3151,90
9,482,3046,122,142,30,3206,90
9,77,3090,93,145,10,3250,90
9,422,3144,118,148,40,3304,90
