,source,target,weight
33,659,31.0,1
1,31,751.0,1
39,751,68.0,1
5,68,557.0,1
27,557,607.0,1
31,607,209.0,1
14,209,116.0,1
8,116,248.0,1
15,248,164.0,1
10,164,724.0,1
37,724,672.0,1
34,672,711.0,1
36,711,706.0,1
35,706,571.0,1
28,571,326.0,1
18,326,400.0,1
21,400,593.0,1
30,593,19.0,1
0,19,358.0,1
19,358,76.0,1
6,76,490.0,1
23,490,40.0,1
2,40,86.0,1
7,86,254.0,1
16,254,283.0,1
17,283,556.0,1
26,556,512.0,1
24,512,609.0,1
32,609,726.0,1
38,726,172.0,1
12,172,581.0,1
29,581,168.0,1
11,168,397.0,1
20,397,142.0,1
9,142,468.0,1
22,468,53.0,1
4,53,202.0,1
13,202,517.0,1
25,517,49.0,1
3,49,,1
