,source,target,weight
16,297,724.0,1
31,724,179.0,1
11,179,798.0,1
33,798,702.0,1
30,702,892.0,1
39,892,71.0,1
8,71,630.0,1
27,630,253.0,1
14,253,774.0,1
32,774,15.0,1
1,15,828.0,1
36,828,671.0,1
29,671,821.0,1
35,821,582.0,1
25,582,431.0,1
18,431,211.0,1
13,211,56.0,1
5,56,55.0,1
4,55,262.0,1
15,262,512.0,1
22,512,473.0,1
21,473,986.0,1
43,986,598.0,1
26,598,95.0,1
9,95,577.0,1
24,577,897.0,1
40,897,98.0,1
10,98,58.0,1
6,58,194.0,1
12,194,524.0,1
23,524,840.0,1
38,840,910.0,1
41,910,936.0,1
42,936,29.0,1
2,29,70.0,1
7,70,39.0,1
3,39,1.0,1
0,1,432.0,1
19,432,332.0,1
17,332,662.0,1
28,662,831.0,1
37,831,802.0,1
34,802,460.0,1
20,460,,1
