lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
18,177,155,186,355,25,185,10
18,497,175,183,375,30,205,10
18,400,176,180,375,10,206,10
18,86,187,182,378,10,217,10
18,31,196,140,387,8,226,10
18,716,198,182,379,20,228,10
18,557,213,179,383,20,243,10
18,689,230,185,386,10,260,10
18,626,244,135,384,13,274,10
18,340,245,180,387,10,275,10
18,198,249,169,352,7,279,10
18,788,261,174,387,20,291,10
18,538,276,172,383,20,306,10
18,404,288,173,381,10,318,10
18,124,302,177,379,10,332,10
18,97,317,174,375,30,347,10
18,204,527,142,385,16,557,10
18,605,622,117,381,18,652,10
18,794,780,142,379,11,810,10
18,369,787,163,364,21,817,10
18,245,916,157,378,22,946,10
18,226,1213,166,357,21,1243,10
