lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
9,301,232,165,264,20,352,10
9,360,274,184,282,19,394,10
9,645,300,199,290,10,420,10
9,736,322,183,294,20,442,10
9,671,351,197,292,20,471,10
9,548,384,185,299,10,504,10
9,142,395,197,293,30,515,10
9,45,400,145,301,8,520,10
9,314,436,182,300,10,556,10
9,641,437,153,315,16,557,10
9,105,439,196,293,20,559,10
9,320,482,183,301,20,602,10
9,513,485,195,294,10,605,10
9,669,530,183,303,20,650,10
9,441,531,196,295,20,651,10
9,94,579,198,295,20,699,10
9,632,583,186,304,10,703,10
9,752,637,189,306,40,757,10
9,572,639,197,300,10,759,10
9,54,689,186,306,10,809,10
9,553,699,201,297,10,819,10
9,323,757,179,305,10,877,10
9,203,759,206,296,30,879,10
9,416,817,204,292,10,937,10
9,563,819,177,300,30,939,10
9,727,868,175,299,20,988,10
9,482,1412,146,301,34,1532,10
9,262,1753,192,332,31,1873,10
9,274,1960,213,305,24,2080,10
9,653,1987,146,320,22,2107,10
9,555,2800,174,329,30,2920,10
9,501,3435,160,313,8,3555,10
9,304,3819,174,326,8,3939,10
9,169,5646,146,324,24,5766,10
