,source,target,weight
22,554,680.0,1
30,680,97.0,1
4,97,111.0,1
5,111,85.0,1
3,85,128.0,1
6,128,716.0,1
33,716,605.0,1
26,605,275.0,1
11,275,318.0,1
14,318,21.0,1
1,21,264.0,1
10,264,393.0,1
17,393,712.0,1
32,712,189.0,1
7,189,237.0,1
9,237,674.0,1
29,674,567.0,1
24,567,306.0,1
12,306,638.0,1
28,638,535.0,1
21,535,478.0,1
19,478,529.0,1
20,529,608.0,1
27,608,688.0,1
31,688,764.0,1
34,764,411.0,1
18,411,9.0,1
0,9,317.0,1
13,317,226.0,1
8,226,561.0,1
23,561,371.0,1
16,371,579.0,1
25,579,337.0,1
15,337,74.0,1
2,74,,1
