,source,target,weight
0,2,218.0,1
9,218,418.0,1
20,418,508.0,1
24,508,566.0,1
27,566,275.0,1
13,275,373.0,1
19,373,329.0,1
16,329,202.0,1
8,202,231.0,1
10,231,168.0,1
6,168,23.0,1
2,23,111.0,1
4,111,254.0,1
12,254,338.0,1
17,338,655.0,1
31,655,535.0,1
26,535,35.0,1
3,35,177.0,1
7,177,421.0,1
21,421,583.0,1
28,583,13.0,1
1,13,652.0,1
30,652,423.0,1
22,423,351.0,1
18,351,312.0,1
14,312,750.0,1
33,750,620.0,1
29,620,517.0,1
25,517,240.0,1
11,240,129.0,1
5,129,429.0,1
23,429,723.0,1
32,723,316.0,1
15,316,,1
