,source,target,weight
22,640,346.0,1
8,346,366.0,1
9,366,584.0,1
18,584,264.0,1
5,264,660.0,1
24,660,573.0,1
17,573,668.0,1
26,668,287.0,1
6,287,496.0,1
14,496,410.0,1
10,410,708.0,1
28,708,798.0,1
35,798,516.0,1
15,516,428.0,1
11,428,796.0,1
34,796,635.0,1
20,635,492.0,1
13,492,637.0,1
21,637,160.0,1
2,160,779.0,1
31,779,591.0,1
19,591,315.0,1
7,315,662.0,1
25,662,751.0,1
29,751,110.0,1
0,110,702.0,1
27,702,214.0,1
3,214,485.0,1
12,485,135.0,1
1,135,644.0,1
23,644,776.0,1
30,776,234.0,1
4,234,570.0,1
16,570,780.0,1
32,780,787.0,1
33,787,,1
