lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
22,98,159,78,97,30,319,90
22,776,513,81,132,20,673,90
22,692,613,83,122,10,773,90
22,583,706,86,122,20,866,90
22,628,849,90,111,20,1009,90
22,177,905,76,118,10,1065,90
22,480,999,72,118,30,1159,90
22,199,1093,70,114,10,1253,90
22,773,1186,80,111,30,1346,90
22,90,1194,59,115,30,1354,90
22,643,1286,71,115,40,1446,90
22,695,1304,39,117,30,1464,90
22,248,1390,78,127,20,1550,90
22,170,1485,83,125,20,1645,90
22,765,1536,73,97,20,1696,90
22,207,1578,86,126,10,1738,90
22,58,1639,67,109,10,1799,90
22,697,1679,79,135,10,1839,90
22,499,1741,66,121,10,1901,90
22,381,1774,76,139,20,1934,90
22,770,1837,69,126,20,1997,90
22,562,1933,74,124,30,2093,90
22,80,2025,74,126,10,2185,90
22,374,2119,73,130,20,2279,90
22,132,2210,73,129,10,2370,90
22,464,2306,79,128,20,2466,90
22,276,2402,77,134,40,2562,90
22,457,2495,75,136,10,2655,90
22,542,2593,70,142,20,2753,90
22,671,2693,85,105,20,2853,90
22,696,2696,72,155,30,2856,90
22,173,2790,75,153,30,2950,90
22,78,2894,79,139,30,3054,90
