,source,target,weight
5,86,29.0,1
1,29,337.0,1
20,337,637.0,1
34,637,345.0,1
22,345,95.0,1
6,95,934.0,1
49,934,58.0,1
3,58,731.0,1
39,731,409.0,1
24,409,719.0,1
38,719,657.0,1
36,657,765.0,1
40,765,248.0,1
14,248,296.0,1
17,296,583.0,1
31,583,113.0,1
7,113,863.0,1
44,863,498.0,1
29,498,258.0,1
15,258,902.0,1
48,902,265.0,1
16,265,341.0,1
21,341,829.0,1
42,829,884.0,1
47,884,446.0,1
27,446,315.0,1
19,315,298.0,1
18,298,807.0,1
41,807,588.0,1
32,588,867.0,1
45,867,48.0,1
2,48,882.0,1
46,882,492.0,1
28,492,416.0,1
25,416,242.0,1
13,242,197.0,1
11,197,707.0,1
37,707,151.0,1
10,151,135.0,1
8,135,966.0,1
51,966,638.0,1
35,638,69.0,1
4,69,143.0,1
9,143,609.0,1
33,609,428.0,1
26,428,2.0,1
0,2,382.0,1
23,382,832.0,1
43,832,940.0,1
50,940,231.0,1
12,231,528.0,1
30,528,,1
