lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
21,24,83,96,86,12,93,10
21,377,84,102,81,12,94,10
21,445,100,99,73,22,110,10
21,586,157,122,96,19,167,10
21,318,206,110,83,22,216,10
21,43,260,99,105,4,270,10
21,385,263,89,61,14,273,10
21,527,281,111,98,16,291,10
21,343,308,123,76,2,318,10
21,296,407,109,61,17,417,10
21,549,437,80,67,12,447,10
21,490,438,83,77,18,448,10
21,208,464,103,81,33,474,10
21,280,485,108,80,1,495,10
21,243,515,96,96,33,525,10
21,188,522,120,60,12,532,10
21,583,534,113,62,9,544,10
21,62,561,85,62,3,571,10
21,79,566,73,81,15,576,10
21,204,576,103,93,13,586,10
21,523,588,131,78,8,598,10
21,200,604,136,68,19,614,10
21,501,610,80,86,32,620,10
21,474,632,129,83,15,642,10
21,193,648,129,77,11,658,10
21,93,736,85,75,18,746,10
21,265,840,127,77,11,850,10
21,396,853,102,76,17,863,10
21,495,914,117,79,10,924,10
21,311,920,94,93,19,930,10
