,source,target,weight
0,16,856.0,1
34,856,809.0,1
32,809,231.0,1
12,231,365.0,1
20,365,456.0,1
23,456,682.0,1
28,682,998.0,1
39,998,242.0,1
13,242,165.0,1
7,165,504.0,1
24,504,167.0,1
8,167,41.0,1
1,41,195.0,1
10,195,829.0,1
33,829,616.0,1
26,616,110.0,1
3,110,278.0,1
15,278,701.0,1
29,701,969.0,1
38,969,729.0,1
31,729,183.0,1
9,183,336.0,1
18,336,708.0,1
30,708,337.0,1
19,337,454.0,1
22,454,122.0,1
5,122,873.0,1
35,873,965.0,1
37,965,108.0,1
2,108,263.0,1
14,263,320.0,1
17,320,288.0,1
16,288,380.0,1
21,380,953.0,1
36,953,546.0,1
25,546,121.0,1
4,121,196.0,1
11,196,132.0,1
6,132,661.0,1
27,661,,1
