,source,target,weight
30,760,988.0,1
44,988,33.0,1
0,33,968.0,1
42,968,573.0,1
23,573,334.0,1
13,334,543.0,1
20,543,554.0,1
21,554,341.0,1
14,341,439.0,1
18,439,972.0,1
43,972,817.0,1
32,817,840.0,1
36,840,904.0,1
40,904,836.0,1
35,836,128.0,1
7,128,164.0,1
10,164,388.0,1
16,388,592.0,1
24,592,621.0,1
25,621,755.0,1
29,755,863.0,1
37,863,434.0,1
17,434,159.0,1
9,159,791.0,1
31,791,680.0,1
26,680,123.0,1
6,123,864.0,1
38,864,958.0,1
41,958,722.0,1
28,722,122.0,1
5,122,96.0,1
2,96,483.0,1
19,483,211.0,1
11,211,121.0,1
4,121,99.0,1
3,99,380.0,1
15,380,156.0,1
8,156,555.0,1
22,555,819.0,1
33,819,285.0,1
12,285,821.0,1
34,821,86.0,1
1,86,897.0,1
39,897,691.0,1
27,691,,1
