,source,target,weight
36,747,427.0,1
23,427,530.0,1
29,530,47.0,1
2,47,521.0,1
27,521,345.0,1
17,345,82.0,1
3,82,35.0,1
1,35,99.0,1
4,99,372.0,1
19,372,30.0,1
0,30,470.0,1
26,470,127.0,1
6,127,325.0,1
15,325,434.0,1
24,434,328.0,1
16,328,631.0,1
31,631,112.0,1
5,112,203.0,1
10,203,193.0,1
9,193,526.0,1
28,526,407.0,1
21,407,160.0,1
8,160,214.0,1
12,214,691.0,1
34,691,392.0,1
20,392,156.0,1
7,156,654.0,1
32,654,614.0,1
30,614,705.0,1
35,705,348.0,1
18,348,443.0,1
25,443,285.0,1
13,285,683.0,1
33,683,416.0,1
22,416,771.0,1
37,771,313.0,1
14,313,207.0,1
11,207,,1
