lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
2,309,665,181,297,10,755,10
2,415,783,184,277,17,951,10
2,63,1196,208,290,16,1367,10
2,189,1199,181,277,15,1231,10
2,239,1620,208,297,8,1771,10
2,91,1690,177,281,16,1835,10
2,431,1745,209,269,17,1942,10
2,41,1778,183,282,42,1875,10
2,320,1955,175,294,16,2094,10
2,586,2043,182,284,3,2183,10
2,235,2161,213,299,22,2263,10
2,559,2350,212,270,21,2505,10
2,33,2404,176,263,5,2593,10
2,332,2535,175,281,17,2708,10
2,540,2927,228,276,21,3056,10
2,175,2946,203,283,6,3105,10
2,11,3060,178,263,18,3142,10
2,521,3267,215,295,8,3425,10
2,321,3651,202,292,10,3732,10
