,source,target,weight
29,562,175.0,1
11,175,764.0,1
41,764,737.0,1
38,737,229.0,1
13,229,368.0,1
17,368,495.0,1
26,495,130.0,1
3,130,379.0,1
18,379,450.0,1
22,450,652.0,1
33,652,156.0,1
8,156,149.0,1
7,149,29.0,1
1,29,391.0,1
19,391,582.0,1
30,582,161.0,1
9,161,692.0,1
36,692,133.0,1
4,133,503.0,1
27,503,436.0,1
21,436,147.0,1
6,147,697.0,1
37,697,162.0,1
10,162,744.0,1
39,744,145.0,1
5,145,543.0,1
28,543,631.0,1
32,631,683.0,1
35,683,598.0,1
31,598,10.0,1
0,10,463.0,1
23,463,474.0,1
24,474,663.0,1
34,663,335.0,1
15,335,392.0,1
20,392,486.0,1
25,486,364.0,1
16,364,91.0,1
2,91,745.0,1
40,745,210.0,1
12,210,278.0,1
14,278,,1
