,source,target,weight
36,944,73.0,1
2,73,654.0,1
22,654,841.0,1
33,841,816.0,1
32,816,754.0,1
29,754,737.0,1
26,737,593.0,1
19,593,367.0,1
12,367,190.0,1
6,190,608.0,1
21,608,312.0,1
10,312,717.0,1
25,717,843.0,1
34,843,220.0,1
8,220,956.0,1
37,956,742.0,1
28,742,681.0,1
23,681,363.0,1
11,363,518.0,1
17,518,145.0,1
4,145,596.0,1
20,596,777.0,1
31,777,859.0,1
35,859,390.0,1
14,390,380.0,1
13,380,224.0,1
9,224,404.0,1
15,404,22.0,1
1,22,759.0,1
30,759,205.0,1
7,205,698.0,1
24,698,430.0,1
16,430,551.0,1
18,551,739.0,1
27,739,166.0,1
5,166,3.0,1
0,3,88.0,1
3,88,,1
