lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
23,633,610,369,171,23,762,10
23,597,777,380,126,31,961,10
23,304,841,391,136,33,982,10
23,326,956,371,111,3,1158,10
23,656,1051,388,106,9,1177,10
23,289,1082,396,106,18,1199,10
23,443,1254,374,163,29,1388,10
23,578,1388,374,175,18,1484,10
23,51,1617,342,154,25,1703,10
23,408,1779,399,179,26,1921,10
23,354,1811,389,171,3,1921,10
23,708,1873,377,144,23,1985,10
23,104,1933,381,144,18,2103,10
23,169,2085,357,147,23,2281,10
23,28,2092,380,145,31,2210,10
23,798,2184,349,135,28,2318,10
23,732,2354,395,113,9,2406,10
23,478,2653,382,169,23,2732,10
23,245,2909,378,118,12,3028,10
23,751,2965,397,133,24,3084,10
23,743,3039,338,150,16,3225,10
23,156,3204,350,131,12,3330,10
23,379,3245,359,157,5,3353,10
23,796,3351,400,109,20,3548,10
23,122,3509,379,126,8,3542,10
23,96,3601,352,156,6,3701,10
23,138,3915,395,167,24,4046,10
23,91,3998,344,154,30,4108,10
23,564,4037,343,134,8,4153,10
23,178,4207,369,118,12,4328,10
23,725,4248,362,115,11,4364,10
