,source,target,weight
11,255,352.0,1
14,352,370.0,1
16,370,677.0,1
33,677,65.0,1
1,65,390.0,1
18,390,699.0,1
34,699,649.0,1
30,649,648.0,1
29,648,632.0,1
27,632,768.0,1
38,768,495.0,1
22,495,664.0,1
31,664,250.0,1
10,250,644.0,1
28,644,313.0,1
13,313,256.0,1
12,256,170.0,1
7,170,523.0,1
23,523,621.0,1
26,621,730.0,1
37,730,665.0,1
32,665,540.0,1
25,540,387.0,1
17,387,537.0,1
24,537,121.0,1
4,121,726.0,1
36,726,441.0,1
20,441,75.0,1
3,75,445.0,1
21,445,134.0,1
5,134,360.0,1
15,360,713.0,1
35,713,200.0,1
8,200,69.0,1
2,69,54.0,1
0,54,152.0,1
6,152,396.0,1
19,396,209.0,1
9,209,,1
