lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
18,183,767,202,33,30,927,90
18,160,864,200,26,10,1024,90
18,260,958,197,24,10,1118,90
18,693,1052,200,21,20,1212,90
18,124,1145,200,18,30,1305,90
18,311,1240,204,21,10,1400,90
18,333,1338,206,29,10,1498,90
18,528,1435,211,34,20,1595,90
18,328,1527,210,35,20,1687,90
18,178,1622,206,38,40,1782,90
18,344,1715,209,37,20,1875,90
18,743,1812,216,35,10,1972,90
18,510,1915,228,32,10,2075,90
18,369,2024,223,13,10,2184,90
18,204,2122,217,8,20,2282,90
18,787,2217,213,11,20,2377,90
18,176,2316,214,20,20,2476,90
18,418,2421,201,13,10,2581,90
18,278,2512,200,12,20,2672,90
18,764,2609,197,18,30,2769,90
