,source,target,weight
22,394,668.0,1
32,668,576.0,1
28,576,343.0,1
14,343,461.0,1
24,461,422.0,1
23,422,721.0,1
34,721,531.0,1
27,531,657.0,1
30,657,44.0,1
3,44,192.0,1
10,192,69.0,1
4,69,501.0,1
26,501,496.0,1
25,496,378.0,1
20,378,359.0,1
16,359,10.0,1
0,10,665.0,1
31,665,379.0,1
21,379,136.0,1
8,136,364.0,1
17,364,108.0,1
5,108,22.0,1
1,22,753.0,1
35,753,252.0,1
12,252,286.0,1
13,286,118.0,1
6,118,122.0,1
7,122,597.0,1
29,597,671.0,1
33,671,369.0,1
19,369,346.0,1
15,346,368.0,1
18,368,23.0,1
2,23,221.0,1
11,221,182.0,1
9,182,,1
