,source,target,weight
28,558,369.0,1
18,369,522.0,1
25,522,52.0,1
3,52,6.0,1
1,6,789.0,1
36,789,651.0,1
30,651,309.0,1
14,309,116.0,1
5,116,705.0,1
34,705,538.0,1
26,538,754.0,1
35,754,86.0,1
4,86,563.0,1
29,563,666.0,1
31,666,355.0,1
17,355,516.0,1
24,516,472.0,1
22,472,3.0,1
0,3,392.0,1
19,392,257.0,1
11,257,311.0,1
15,311,154.0,1
7,154,132.0,1
6,132,346.0,1
16,346,165.0,1
8,165,261.0,1
12,261,203.0,1
9,203,790.0,1
37,790,545.0,1
27,545,691.0,1
33,691,435.0,1
20,435,513.0,1
23,513,212.0,1
10,212,14.0,1
2,14,303.0,1
13,303,461.0,1
21,461,683.0,1
32,683,,1
