lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
1,300,498,242,70,22,672,10
1,526,537,250,124,4,647,10
1,357,814,247,86,21,999,10
1,313,1359,234,107,24,1468,10
1,241,1542,209,84,13,1637,10
1,83,1614,253,84,11,1743,10
1,517,2086,225,73,9,2183,10
1,250,2191,246,93,14,2278,10
1,375,2269,246,123,18,2406,10
1,315,2352,239,84,17,2441,10
1,101,2899,238,103,16,2999,10
1,360,2916,222,100,18,3015,10
1,44,3290,230,80,26,3399,10
1,102,3545,236,108,16,3656,10
1,362,3774,233,119,11,3854,10
1,585,4214,254,87,7,4274,10
