,source,target,weight
42,927,68.0,1
2,68,667.0,1
28,667,673.0,1
29,673,819.0,1
40,819,606.0,1
24,606,1000.0,1
45,1000,703.0,1
31,703,394.0,1
19,394,616.0,1
25,616,313.0,1
14,313,377.0,1
17,377,655.0,1
27,655,289.0,1
12,289,746.0,1
33,746,212.0,1
7,212,361.0,1
16,361,890.0,1
41,890,515.0,1
22,515,140.0,1
4,140,435.0,1
20,435,262.0,1
10,262,758.0,1
34,758,386.0,1
18,386,788.0,1
36,788,254.0,1
9,254,781.0,1
35,781,449.0,1
21,449,185.0,1
6,185,800.0,1
39,800,281.0,1
11,281,792.0,1
37,792,290.0,1
13,290,79.0,1
3,79,985.0,1
44,985,625.0,1
26,625,63.0,1
1,63,980.0,1
43,980,51.0,1
0,51,516.0,1
23,516,729.0,1
32,729,699.0,1
30,699,796.0,1
38,796,144.0,1
5,144,323.0,1
15,323,214.0,1
8,214,,1
