,source,target,weight
21,455,87.0,1
4,87,587.0,1
29,587,695.0,1
33,695,525.0,1
25,525,88.0,1
5,88,126.0,1
8,126,772.0,1
36,772,724.0,1
34,724,425.0,1
19,425,120.0,1
7,120,625.0,1
30,625,150.0,1
9,150,299.0,1
15,299,386.0,1
18,386,271.0,1
14,271,542.0,1
26,542,769.0,1
35,769,193.0,1
10,193,488.0,1
23,488,205.0,1
11,205,473.0,1
22,473,434.0,1
20,434,511.0,1
24,511,249.0,1
12,249,636.0,1
32,636,114.0,1
6,114,629.0,1
31,629,19.0,1
0,19,565.0,1
28,565,310.0,1
16,310,81.0,1
3,81,41.0,1
1,41,551.0,1
27,551,266.0,1
13,266,60.0,1
2,60,325.0,1
17,325,,1
