lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
18,177,563,186,355,25,683,10
18,400,645,180,375,10,765,10
18,497,697,183,375,30,817,10
18,86,749,182,378,10,869,10
18,31,774,140,387,8,894,10
18,716,793,182,379,20,913,10
18,557,853,179,383,20,973,10
18,689,920,185,386,10,1040,10
18,626,976,135,384,13,1096,10
18,340,980,180,387,10,1100,10
18,198,996,169,352,7,1116,10
18,788,1044,174,387,20,1164,10
18,538,1102,172,383,20,1222,10
18,404,1151,173,381,10,1271,10
18,124,1209,177,379,10,1329,10
18,97,1269,174,375,30,1389,10
18,204,2109,142,385,16,2229,10
18,605,2490,117,381,18,2610,10
18,794,3121,142,379,11,3241,10
18,369,3148,163,364,21,3268,10
18,245,3665,157,378,22,3785,10
18,226,4853,166,357,21,4973,10
