,source,target,weight
36,825,512.0,1
23,512,792.0,1
34,792,25.0,1
1,25,429.0,1
21,429,185.0,1
9,185,632.0,1
29,632,409.0,1
20,409,68.0,1
4,68,408.0,1
19,408,685.0,1
31,685,367.0,1
16,367,64.0,1
3,64,761.0,1
33,761,528.0,1
24,528,91.0,1
5,91,365.0,1
15,365,206.0,1
10,206,797.0,1
35,797,136.0,1
7,136,363.0,1
14,363,233.0,1
11,233,94.0,1
6,94,31.0,1
2,31,14.0,1
0,14,534.0,1
25,534,622.0,1
28,622,990.0,1
43,990,942.0,1
41,942,369.0,1
17,369,675.0,1
30,675,900.0,1
40,900,949.0,1
42,949,361.0,1
13,361,878.0,1
39,878,467.0,1
22,467,311.0,1
12,311,370.0,1
18,370,589.0,1
26,589,690.0,1
32,690,157.0,1
8,157,862.0,1
38,862,830.0,1
37,830,597.0,1
27,597,,1
