lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
11,136,226,93,413,17,236,10
11,597,236,102,422,23,246,10
11,808,275,77,465,11,285,10
11,582,277,90,477,18,287,10
11,496,288,72,477,46,298,10
11,677,321,5,445,30,331,10
11,263,345,53,466,9,355,10
11,243,361,79,467,22,371,10
11,379,381,80,458,30,391,10
11,324,389,93,490,2,399,10
11,418,412,44,496,32,422,10
11,977,437,49,437,7,447,10
11,211,481,105,474,27,491,10
11,504,530,63,420,19,540,10
11,958,554,61,441,27,564,10
11,167,580,20,480,25,590,10
11,375,643,68,450,18,653,10
11,886,721,3,471,13,731,10
11,566,784,13,465,31,794,10
11,520,792,94,497,31,802,10
11,574,799,44,440,24,809,10
11,59,812,69,423,32,822,10
11,982,814,48,437,4,824,10
11,571,831,0,422,8,841,10
11,24,893,91,427,14,903,10
11,961,899,36,451,15,909,10
11,121,928,64,437,11,938,10
11,468,966,76,462,18,976,10
11,659,1042,48,412,7,1052,10
11,32,1090,27,444,22,1100,10
11,284,1226,67,451,5,1236,10
11,768,1233,84,453,19,1243,10
11,481,1273,69,414,6,1283,10
11,693,1283,103,464,22,1293,10
11,285,1301,27,464,21,1311,10
11,177,1320,29,462,17,1330,10
11,23,1353,28,467,34,1363,10
11,769,1354,26,442,23,1364,10
11,274,1405,90,496,13,1415,10
11,16,1416,52,412,22,1426,10
11,919,1501,88,484,5,1511,10
