lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
14,754,711,367,104,20,831,10
14,777,759,368,102,20,879,10
14,465,808,369,100,30,928,10
14,672,857,370,98,20,977,10
14,291,926,374,104,10,1046,10
14,170,974,372,104,20,1094,10
14,282,997,371,111,3,1117,10
14,747,1022,370,104,10,1142,10
14,257,1054,388,106,9,1174,10
14,633,1071,369,106,10,1191,10
14,189,1081,396,106,18,1201,10
14,127,1115,369,107,20,1235,10
14,770,1214,327,115,15,1334,10
14,376,1774,334,92,29,1894,10
14,348,2191,349,135,28,2311,10
14,462,3088,366,97,23,3208,10
14,611,3207,350,131,12,3327,10
14,144,3389,400,109,20,3509,10
14,750,3466,379,126,8,3586,10
14,266,3806,338,106,8,3926,10
14,298,4208,369,118,12,4328,10
14,442,4550,334,100,21,4670,10
