lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
5,542,321,203,183,26,359,10
5,99,365,243,191,16,448,10
5,169,413,208,208,16,551,10
5,284,456,225,210,27,614,10
5,463,534,234,213,15,723,10
5,488,573,241,218,34,720,10
5,424,776,229,188,7,856,10
5,262,948,229,179,16,1108,10
5,287,1137,251,195,33,1290,10
5,129,1244,227,192,15,1391,10
5,180,1592,237,171,17,1683,10
5,368,1749,241,208,31,1904,10
5,186,1841,223,198,24,1952,10
5,243,1855,238,214,15,1932,10
5,276,2048,211,174,33,2199,10
5,10,2170,216,203,5,2277,10
5,269,2179,225,192,26,2311,10
5,125,2217,246,166,18,2256,10
5,493,2282,238,206,22,2421,10
5,245,2456,220,182,13,2567,10
5,69,2787,201,175,10,2875,10
5,204,3339,241,183,12,3529,10
5,513,3462,228,217,32,3592,10
5,346,3515,250,194,4,3623,10
