,source,target,weight
24,481,276.0,1
16,276,197.0,1
10,197,358.0,1
19,358,517.0,1
25,517,172.0,1
8,172,391.0,1
21,391,301.0,1
17,301,271.0,1
15,271,936.0,1
40,936,163.0,1
7,163,551.0,1
27,551,18.0,1
0,18,641.0,1
31,641,578.0,1
29,578,766.0,1
36,766,982.0,1
42,982,24.0,1
2,24,615.0,1
30,615,419.0,1
22,419,38.0,1
3,38,532.0,1
26,532,85.0,1
5,85,352.0,1
18,352,468.0,1
23,468,700.0,1
32,700,226.0,1
13,226,135.0,1
6,135,902.0,1
38,902,560.0,1
28,560,200.0,1
11,200,713.0,1
33,713,23.0,1
1,23,46.0,1
4,46,882.0,1
37,882,359.0,1
20,359,247.0,1
14,247,999.0,1
43,999,213.0,1
12,213,195.0,1
9,195,935.0,1
39,935,714.0,1
34,714,759.0,1
35,759,954.0,1
41,954,,1
