,source,target,weight
36,983,276.0,1
8,276,835.0,1
28,835,763.0,1
26,763,920.0,1
32,920,164.0,1
5,164,879.0,1
29,879,533.0,1
16,533,644.0,1
20,644,631.0,1
19,631,727.0,1
23,727,550.0,1
17,550,334.0,1
10,334,78.0,1
2,78,776.0,1
27,776,124.0,1
4,124,280.0,1
9,280,760.0,1
25,760,749.0,1
24,749,11.0,1
1,11,236.0,1
7,236,972.0,1
35,972,526.0,1
15,526,437.0,1
12,437,907.0,1
30,907,913.0,1
31,913,933.0,1
33,933,615.0,1
18,615,951.0,1
34,951,466.0,1
13,466,85.0,1
3,85,469.0,1
14,469,682.0,1
22,682,175.0,1
6,175,7.0,1
0,7,391.0,1
11,391,662.0,1
21,662,,1
