,source,target,weight
36,983,469.0,1
12,469,397.0,1
9,397,649.0,1
22,649,705.0,1
26,705,7.0,1
0,7,395.0,1
8,395,563.0,1
18,563,740.0,1
28,740,910.0,1
33,910,668.0,1
23,668,736.0,1
27,736,476.0,1
13,476,160.0,1
4,160,996.0,1
38,996,811.0,1
29,811,610.0,1
19,610,556.0,1
17,556,835.0,1
30,835,417.0,1
11,417,867.0,1
32,867,482.0,1
14,482,492.0,1
15,492,698.0,1
25,698,626.0,1
21,626,317.0,1
7,317,71.0,1
2,71,399.0,1
10,399,992.0,1
37,992,186.0,1
5,186,980.0,1
35,980,855.0,1
31,855,56.0,1
1,56,979.0,1
34,979,495.0,1
16,495,130.0,1
3,130,312.0,1
6,312,625.0,1
20,625,689.0,1
24,689,,1
