,source,target,weight
15,451,922.0,1
34,922,838.0,1
30,838,547.0,1
22,547,484.0,1
19,484,437.0,1
14,437,126.0,1
3,126,228.0,1
6,228,349.0,1
11,349,6.0,1
0,6,538.0,1
21,538,464.0,1
17,464,976.0,1
36,976,967.0,1
35,967,647.0,1
26,647,161.0,1
4,161,868.0,1
31,868,374.0,1
13,374,65.0,1
1,65,610.0,1
23,610,886.0,1
32,886,698.0,1
27,698,258.0,1
8,258,626.0,1
24,626,467.0,1
18,467,347.0,1
10,347,458.0,1
16,458,173.0,1
5,173,641.0,1
25,641,90.0,1
2,90,509.0,1
20,509,745.0,1
29,745,911.0,1
33,911,744.0,1
28,744,368.0,1
12,368,302.0,1
9,302,246.0,1
7,246,,1
