,source,target,weight
30,606,242.0,1
12,242,73.0,1
1,73,141.0,1
5,141,634.0,1
31,634,589.0,1
29,589,51.0,1
0,51,733.0,1
38,733,637.0,1
32,637,643.0,1
34,643,506.0,1
26,506,354.0,1
18,354,421.0,1
21,421,305.0,1
16,305,92.0,1
3,92,429.0,1
22,429,473.0,1
25,473,690.0,1
37,690,413.0,1
20,413,797.0,1
39,797,178.0,1
7,178,347.0,1
17,347,166.0,1
6,166,289.0,1
13,289,649.0,1
35,649,227.0,1
11,227,440.0,1
24,440,295.0,1
15,295,198.0,1
10,198,95.0,1
4,95,675.0,1
36,675,389.0,1
19,389,507.0,1
27,507,186.0,1
8,186,191.0,1
9,191,77.0,1
2,77,294.0,1
14,294,435.0,1
23,435,642.0,1
33,642,569.0,1
28,569,,1
