lbl,CUST NO.,READY TIME,XCOORD.,YCOORD.,DEMAND,DUE DATE,SERVICE TIME
19,9,91,105,230,10,155,90
19,531,97,88,225,20,146,90
19,69,155,86,230,20,231,90
19,31,159,106,233,10,211,90
19,63,252,103,232,20,305,90
19,533,258,84,236,10,321,90
19,537,340,102,235,30,403,90
19,374,349,83,236,10,412,90
19,383,429,104,235,10,497,90
19,128,452,81,238,20,494,90
19,446,535,78,236,10,597,90
19,149,538,106,237,20,574,90
19,160,628,99,242,10,681,90
19,176,629,77,233,20,690,90
19,359,719,78,232,20,784,90
19,110,725,96,237,20,777,90
19,317,819,93,235,20,869,90
19,409,822,85,228,10,877,90
19,8,913,85,224,10,974,90
19,265,915,100,231,20,969,90
19,407,1009,81,223,40,1065,90
