,source,target,weight
11,368,304.0,1
9,304,259.0,1
6,259,467.0,1
17,467,472.0,1
19,472,268.0,1
7,268,722.0,1
31,722,239.0,1
5,239,516.0,1
21,516,440.0,1
16,440,136.0,1
2,136,768.0,1
33,768,715.0,1
30,715,700.0,1
29,700,471.0,1
18,471,605.0,1
27,605,545.0,1
23,545,593.0,1
26,593,405.0,1
14,405,121.0,1
1,121,475.0,1
20,475,386.0,1
12,386,216.0,1
4,216,64.0,1
0,64,620.0,1
28,620,309.0,1
10,309,288.0,1
8,288,763.0,1
32,763,585.0,1
25,585,550.0,1
24,550,406.0,1
15,406,536.0,1
22,536,150.0,1
3,150,389.0,1
13,389,,1
