,source,target,weight
47,955,818.0,1
38,818,817.0,1
37,817,508.0,1
26,508,14.0,1
1,14,395.0,1
19,395,304.0,1
15,304,845.0,1
40,845,116.0,1
9,116,77.0,1
7,77,355.0,1
17,355,367.0,1
18,367,900.0,1
43,900,613.0,1
28,613,449.0,1
23,449,627.0,1
30,627,635.0,1
31,635,40.0,1
4,40,887.0,1
42,887,134.0,1
10,134,618.0,1
29,618,684.0,1
32,684,930.0,1
45,930,18.0,1
2,18,923.0,1
44,923,203.0,1
12,203,408.0,1
20,408,414.0,1
21,414,424.0,1
22,424,742.0,1
34,742,45.0,1
5,45,823.0,1
39,823,945.0,1
46,945,805.0,1
36,805,286.0,1
14,286,737.0,1
33,737,803.0,1
35,803,319.0,1
16,319,251.0,1
13,251,64.0,1
6,64,7.0,1
0,7,30.0,1
3,30,497.0,1
24,497,505.0,1
25,505,562.0,1
27,562,979.0,1
48,979,193.0,1
11,193,882.0,1
41,882,86.0,1
8,86,,1
