,source,target,weight
7,139,75.0,1
3,75,106.0,1
6,106,618.0,1
30,618,190.0,1
11,190,365.0,1
22,365,689.0,1
33,689,341.0,1
19,341,580.0,1
28,580,262.0,1
16,262,799.0,1
36,799,95.0,1
4,95,551.0,1
26,551,71.0,1
2,71,334.0,1
17,334,140.0,1
8,140,255.0,1
13,255,103.0,1
5,103,257.0,1
15,257,345.0,1
20,345,225.0,1
12,225,555.0,1
27,555,256.0,1
14,256,492.0,1
24,492,13.0,1
0,13,587.0,1
29,587,336.0,1
18,336,470.0,1
23,470,65.0,1
1,65,149.0,1
9,149,677.0,1
32,677,521.0,1
25,521,719.0,1
34,719,354.0,1
21,354,152.0,1
10,152,751.0,1
35,751,661.0,1
31,661,,1
