,source,target,weight
26,676,474.0,1
21,474,1000.0,1
41,1000,732.0,1
29,732,751.0,1
30,751,175.0,1
6,175,908.0,1
36,908,844.0,1
33,844,364.0,1
15,364,941.0,1
37,941,377.0,1
17,377,96.0,1
2,96,452.0,1
19,452,22.0,1
0,22,553.0,1
22,553,990.0,1
40,990,901.0,1
35,901,287.0,1
13,287,57.0,1
1,57,819.0,1
32,819,846.0,1
34,846,721.0,1
27,721,952.0,1
38,952,142.0,1
4,142,198.0,1
7,198,282.0,1
12,282,223.0,1
8,223,274.0,1
11,274,646.0,1
25,646,470.0,1
20,470,129.0,1
3,129,781.0,1
31,781,172.0,1
5,172,236.0,1
10,236,982.0,1
39,982,232.0,1
9,232,371.0,1
16,371,570.0,1
23,570,643.0,1
24,643,403.0,1
18,403,322.0,1
14,322,726.0,1
28,726,,1
