,source,target,weight
39,802,139.0,1
6,139,547.0,1
28,547,807.0,1
41,807,72.0,1
3,72,316.0,1
18,316,349.0,1
22,349,946.0,1
47,946,984.0,1
50,984,548.0,1
29,548,36.0,1
1,36,662.0,1
33,662,583.0,1
31,583,364.0,1
23,364,806.0,1
40,806,880.0,1
43,880,39.0,1
2,39,235.0,1
12,235,284.0,1
14,284,170.0,1
7,170,20.0,1
0,20,323.0,1
19,323,752.0,1
38,752,131.0,1
5,131,210.0,1
11,210,307.0,1
17,307,187.0,1
10,187,384.0,1
24,384,741.0,1
37,741,702.0,1
36,702,671.0,1
35,671,303.0,1
16,303,978.0,1
49,978,179.0,1
8,179,452.0,1
27,452,338.0,1
21,338,896.0,1
45,896,593.0,1
32,593,557.0,1
30,557,281.0,1
13,281,912.0,1
46,912,87.0,1
4,87,294.0,1
15,294,184.0,1
9,184,329.0,1
20,329,667.0,1
34,667,426.0,1
26,426,411.0,1
25,411,973.0,1
48,973,848.0,1
42,848,887.0,1
44,887,,1
