,source,target,weight
20,522,832.0,1
34,832,192.0,1
10,192,246.0,1
13,246,228.0,1
11,228,616.0,1
24,616,813.0,1
33,813,231.0,1
12,231,865.0,1
35,865,288.0,1
15,288,110.0,1
3,110,175.0,1
7,175,575.0,1
23,575,176.0,1
8,176,785.0,1
30,785,249.0,1
14,249,758.0,1
28,758,562.0,1
21,562,657.0,1
26,657,445.0,1
18,445,638.0,1
25,638,510.0,1
19,510,13.0,1
0,13,115.0,1
4,115,780.0,1
29,780,974.0,1
37,974,757.0,1
27,757,572.0,1
22,572,333.0,1
16,333,149.0,1
6,149,60.0,1
2,60,959.0,1
36,959,53.0,1
1,53,997.0,1
38,997,126.0,1
5,126,177.0,1
9,177,431.0,1
17,431,801.0,1
32,801,787.0,1
31,787,,1
