,source,target,weight
22,448,628.0,1
29,628,410.0,1
20,410,573.0,1
27,573,402.0,1
19,402,786.0,1
31,786,222.0,1
7,222,488.0,1
23,488,134.0,1
4,134,364.0,1
15,364,791.0,1
32,791,534.0,1
25,534,275.0,1
9,275,552.0,1
26,552,279.0,1
10,279,999.0,1
36,999,31.0,1
2,31,701.0,1
30,701,158.0,1
5,158,503.0,1
24,503,30.0,1
1,30,316.0,1
11,316,39.0,1
3,39,387.0,1
18,387,604.0,1
28,604,942.0,1
35,942,252.0,1
8,252,200.0,1
6,200,441.0,1
21,441,27.0,1
0,27,338.0,1
12,338,354.0,1
13,354,356.0,1
14,356,938.0,1
34,938,385.0,1
17,385,895.0,1
33,895,383.0,1
16,383,,1
