,source,target,weight
11,234,206.0,1
10,206,660.0,1
30,660,386.0,1
19,386,293.0,1
15,293,864.0,1
42,864,124.0,1
4,124,605.0,1
28,605,706.0,1
33,706,314.0,1
16,314,476.0,1
24,476,695.0,1
32,695,248.0,1
12,248,584.0,1
27,584,501.0,1
26,501,346.0,1
18,346,261.0,1
13,261,453.0,1
23,453,763.0,1
39,763,944.0,1
45,944,686.0,1
31,686,5.0,1
0,5,753.0,1
36,753,760.0,1
38,760,904.0,1
44,904,754.0,1
37,754,607.0,1
29,607,808.0,1
41,808,500.0,1
25,500,388.0,1
20,388,961.0,1
47,961,959.0,1
46,959,189.0,1
8,189,199.0,1
9,199,166.0,1
7,166,34.0,1
1,34,730.0,1
35,730,799.0,1
40,799,158.0,1
6,158,396.0,1
21,396,714.0,1
34,714,872.0,1
43,872,270.0,1
14,270,420.0,1
22,420,115.0,1
3,115,53.0,1
2,53,317.0,1
17,317,153.0,1
5,153,,1
