,source,target,weight
53,992,66.0,1
2,66,708.0,1
39,708,308.0,1
13,308,462.0,1
27,462,738.0,1
40,738,365.0,1
19,365,453.0,1
25,453,80.0,1
3,80,249.0,1
10,249,199.0,1
6,199,875.0,1
44,875,234.0,1
9,234,50.0,1
0,50,203.0,1
7,203,208.0,1
8,208,395.0,1
21,395,439.0,1
24,439,476.0,1
29,476,460.0,1
26,460,663.0,1
35,663,946.0,1
51,946,484.0,1
31,484,641.0,1
34,641,327.0,1
15,327,293.0,1
12,293,251.0,1
11,251,178.0,1
5,178,57.0,1
1,57,878.0,1
45,878,880.0,1
46,880,690.0,1
38,690,333.0,1
16,333,470.0,1
28,470,321.0,1
14,321,688.0,1
37,688,479.0,1
30,479,888.0,1
47,888,670.0,1
36,670,171.0,1
4,171,923.0,1
49,923,909.0,1
48,909,340.0,1
17,340,837.0,1
41,837,926.0,1
50,926,436.0,1
23,436,539.0,1
32,539,408.0,1
22,408,981.0,1
52,981,349.0,1
18,349,840.0,1
42,840,860.0,1
43,860,619.0,1
33,619,369.0,1
20,369,,1
