,source,target,weight
36,673,235.0,1
11,235,196.0,1
8,196,341.0,1
18,341,115.0,1
2,115,426.0,1
23,426,491.0,1
26,491,602.0,1
33,602,269.0,1
12,269,661.0,1
35,661,119.0,1
3,119,758.0,1
42,758,415.0,1
22,415,361.0,1
20,361,33.0,1
0,33,782.0,1
45,782,774.0,1
44,774,702.0,1
38,702,232.0,1
10,232,628.0,1
34,628,336.0,1
16,336,690.0,1
37,690,349.0,1
19,349,295.0,1
15,295,746.0,1
41,746,595.0,1
32,595,554.0,1
31,554,547.0,1
29,547,717.0,1
39,717,195.0,1
7,195,173.0,1
6,173,765.0,1
43,765,504.0,1
27,504,799.0,1
46,799,292.0,1
14,292,549.0,1
30,549,214.0,1
9,214,410.0,1
21,410,479.0,1
25,479,274.0,1
13,274,77.0,1
1,77,339.0,1
17,339,427.0,1
24,427,171.0,1
5,171,157.0,1
4,157,731.0,1
40,731,531.0,1
28,531,,1
